Term,Session,Class Nbr,Acad Group,Subject,Course Number,Section,Min Units,Max Units,Enrl Stat,Class Stat,Cap Enrl,Req Rm Cap,Tot Enrl,Wait Cap,Wait Tot,Auto Enrol,Start Date,End Date,Start,End,Mtg Start,Mtg End,Mon,Tues,Wed,Thu,Fri,Sat,Sun,Building,Room,Location,Course Title,Instructor Name,Room Char,Mode
2223,1,32400,ALL,ETHS,1208,03,3.00,3.00,Closed,Active,35,35,35,15,2,Y,1/24/2022,5/20/2022,1,1,2:30:00 PM,3:45:00 PM,,T,,R,,,,DDH,107G,BKSFLD,Introduction to Ethnic Studies,"Moraga,Jorge E",,P
2223,1,32535,ALL,INST,3138,60,3.00,3.00,Closed,Active,45,45,45,0,0,N,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,Ethnicity and Culture,"Moraga,Jorge E",96,OL
2223,1,32134,NSM,CMPS,3500,60,3.00,3.00,Closed,Active,35,35,35,15,5,Y,1/24/2022,5/20/2022,1,2,7:00:00 PM,8:40:00 PM,,T,,,,,,WEB,ON-LINE,BKSFLD,Programming Languages,"Morales,Walter D",,OL
2223,1,32135,NSM,CMPS,3500,61,3.00,3.00,Closed,Active,35,35,35,15,5,Y,1/24/2022,5/20/2022,1,2,6:00:00 PM,8:30:00 PM,,,,,F,,,WEB,ON-LINE,BKSFLD,Programming Languages,"Morales,Walter D",,OL
2223,1,32193,NSM,MATH,2510,03,4.00,4.00,Open,Active,35,35,20,99,0,Y,1/24/2022,5/20/2022,1,1,5:30:00 PM,7:10:00 PM,M,,W,,,,,SCI III,105,BKSFLD,Calculus I,"Morales,Walter D",32,P
2223,1,31295,A&H,COMM,1008,03,3.00,3.00,Open,Active,26,26,7,10,0,Y,1/24/2022,5/20/2022,0,0,8:00:00 AM,8:50:00 AM,M,,W,,F,,,DDH,146H,BKSFLD,Strategies of Public Comm,"Moreno,Bianca M",32,P
2223,1,31297,A&H,COMM,1008,05,3.00,3.00,Closed,Active,26,26,26,10,0,Y,1/24/2022,5/20/2022,0,0,8:30:00 AM,9:45:00 AM,,T,,R,,,,DDH,146H,BKSFLD,Strategies of Public Comm,"Moreno,Bianca M",32,P
2223,1,31301,A&H,COMM,1008,09,3.00,3.00,Open,Active,26,26,4,10,0,Y,1/24/2022,5/20/2022,1,1,10:00:00 AM,10:50:00 AM,M,,W,,F,,,DDH,146H,BKSFLD,Strategies of Public Comm,"Moreno,Bianca M",32,P
2223,1,31303,A&H,COMM,1008,11,3.00,3.00,Open,Active,26,26,21,10,0,Y,1/24/2022,5/20/2022,1,1,10:00:00 AM,11:15:00 AM,,T,,R,,,,DDH,146H,BKSFLD,Strategies of Public Comm,"Moreno,Bianca M",32,P
2223,1,31308,A&H,COMM,1008,16,3.00,3.00,Open,Active,26,26,7,10,0,Y,1/24/2022,5/20/2022,1,1,11:00:00 AM,11:50:00 AM,M,,W,,F,,,DDH,146H,BKSFLD,Strategies of Public Comm,"Moreno,Bianca M",32,P
2223,1,32550,A&H,THTR,3118,60,3.00,3.00,Open,Active,45,30,11,45,0,Y,1/24/2022,5/20/2022,0,0,9:00:00 AM,9:50:00 AM,M,,W,,F,,,WEB,ON-LINE,BKSFLD,Restoration to Experimentation,"Moriarty,Julia K",96,OL
2223,EX1,33101,EXED,BEHS,8000,701,2.00,2.00,Open,Active,30,30,1,0,0,N,1/24/2022,3/18/2022,1,1,6:00:00 PM,7:30:00 PM,,T,,R,,,,WSL,005,EBKS,Professional Writing for CDC,"Moss,Eric L",09,HY
2223,EX1,33102,EXED,BEHS,8040,701,4.50,4.50,Open,Active,30,30,2,0,0,N,1/24/2022,3/18/2022,1,2,6:00:00 PM,9:00:00 PM,M,,W,,,,,EXTU,401C,EBKS,Introduction to Case Mgmt,"Moss,Eric L",32,P
2223,1,31836,BPA,BA,3108,50,3.00,3.00,Open,Active,25,25,13,0,0,N,1/24/2022,5/20/2022,1,2,7:00:00 PM,8:15:00 PM,,T,,R,,,,WSL,ST-C,BKSFLD,Business And Society,"Mossaei,Neda",19,TV
2223,1,31837,BPA,BA,3108,55,3.00,3.00,Open,Active,20,20,2,0,0,N,1/24/2022,5/20/2022,1,2,7:00:00 PM,8:15:00 PM,,T,,R,,,,CSUB-AV,121,AV,Business And Society,"Mossaei,Neda",19,TV
2223,1,31857,BPA,MKTG,3000,50,3.00,3.00,Closed,Active,20,20,20,0,0,N,1/24/2022,5/20/2022,1,1,4:00:00 PM,5:15:00 PM,,T,,R,,,,WSL,ST-C,BKSFLD,Marketing Principles,"Mossaei,Neda",19,TV
2223,1,31858,BPA,MKTG,3000,55,3.00,3.00,Open,Active,25,25,7,0,0,N,1/24/2022,5/20/2022,1,1,4:00:00 PM,5:15:00 PM,,T,,R,,,,CSUB-AV,121,AV,Marketing Principles,"Mossaei,Neda",19,TV
2223,1,32546,NSM,BIOL,1009,07,3.00,3.00,Open,Active,120,120,58,25,0,Y,1/24/2022,5/20/2022,1,1,10:00:00 AM,10:50:00 AM,M,,W,,,,,BDC,153B,BKSFLD,Perspectives in Biology,"Mullins,Erica Lynn",32,P
2223,1,32686,NSM,BIOL,2220,05,4.00,4.00,Closed,Active,24,24,24,5,1,Y,1/24/2022,5/20/2022,1,1,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI I,410,BKSFLD,Human Physiology,"Mullins,Erica Lynn",,P
2223,1,32696,NSM,BIOL,2220,06,4.00,4.00,Open,Active,72,72,63,15,2,Y,1/24/2022,5/20/2022,1,1,4:00:00 PM,5:15:00 PM,,T,,R,,,,BDC,165B,BKSFLD,Human Physiology,"Mullins,Erica Lynn",32,P
2223,1,32697,NSM,BIOL,2220,07,4.00,4.00,Closed,Active,24,24,24,5,0,Y,1/24/2022,5/20/2022,1,1,1:00:00 PM,3:30:00 PM,,T,,,,,,SCI I,410,BKSFLD,Human Physiology,"Mullins,Erica Lynn",,P
2223,1,32700,NSM,BIOL,2220,08,4.00,4.00,Open,Active,24,24,14,5,0,Y,1/24/2022,5/20/2022,1,1,1:00:00 PM,3:30:00 PM,,,,R,,,,SCI I,410,BKSFLD,Human Physiology,"Mullins,Erica Lynn",,P
2223,1,33203,NSM,BIOL,2230,06,4.00,4.00,Closed,Active,20,24,20,5,0,Y,1/24/2022,5/20/2022,1,1,1:00:00 PM,3:30:00 PM,,,W,,,,,SCI I,230,BKSFLD,Microbiology,"Mullins,Erica Lynn",,P
2223,1,32788,NSM,BIOL,4200,05,4.00,4.00,Open,Active,24,24,12,5,0,Y,1/24/2022,5/20/2022,1,1,10:00:00 AM,12:30:00 PM,,,,,F,,,SCI I,230,BKSFLD,Medical Microbiology,"Mullins,Erica Lynn",32,P
2223,1,31912,A&H,HIST,3610,60,3.00,3.00,Open,Active,35,35,30,15,0,Y,1/24/2022,5/20/2022,1,1,2:30:00 PM,3:45:00 PM,,T,,R,,,,WEB,ON-LINE,BKSFLD,Mexican-European Connections,"Murphy,Cliona",96,OL
2223,1,31366,A&H,COMM,3010,60,3.00,3.00,Closed,Active,30,30,30,10,1,Y,1/24/2022,5/20/2022,1,1,2:30:00 PM,3:45:00 PM,M,,W,,,,,WEB,ON-LINE,BKSFLD,Mass Media Law,"Naser,Md A",96,OL
2223,1,31385,A&H,COMM,3220,60,3.00,3.00,Open,Active,40,40,16,10,0,Y,1/24/2022,5/20/2022,1,1,11:30:00 AM,12:45:00 PM,,T,,R,,,,WEB,ON-LINE,BKSFLD,Pub Rel Writing and Strategy,"Naser,Md A",96,OL
2223,EUD,32707,A&H,COMM,4908,126,3.00,3.00,Open,Active,30,30,18,0,0,N,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,OLP,Senior Seminar,"Naser,Md A",96,OL
2223,1,31398,A&H,COMM,4908,60,3.00,3.00,Closed,Active,30,30,30,20,4,Y,1/24/2022,5/20/2022,1,1,1:00:00 PM,2:15:00 PM,,T,,R,,,,WEB,ON-LINE,BKSFLD,Senior Seminar,"Naser,Md A",96,OL
2223,1,33162,A&H,COMM,4908,61,3.00,3.00,Open,Active,30,30,9,20,0,Y,1/24/2022,5/20/2022,1,1,4:00:00 PM,5:15:00 PM,M,,W,,,,,WEB,ON-LINE,BKSFLD,Senior Seminar,"Naser,Md A",96,OL
2223,1,31552,SS&E,EDSP,3268,61,3.00,3.00,Closed,Active,30,30,30,10,5,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,People with Disabilities and A,"Neal,Wesley Scott",96,OL
2223,1,32620,SS&E,CRJU,1108,01,3.00,3.00,Open,Active,90,90,26,0,0,N,1/24/2022,5/20/2022,0,0,8:00:00 AM,8:50:00 AM,M,,W,,F,,,DDH,102G,BKSFLD,Intro to Criminal Justice,"Nelson- Burkert,Lindsay Anne",32,P
2223,1,32656,SS&E,CRJU,3150,02,3.00,3.00,Open,Active,25,25,21,10,0,Y,1/24/2022,5/20/2022,1,1,1:00:00 PM,2:15:00 PM,M,,W,,,,,WSL,005,BKSFLD,Research Methods,"Nelson- Burkert,Lindsay Anne",09,P
2223,1,32928,SS&E,CRJU,4908,02,3.00,3.00,Open,Active,25,25,15,0,0,N,1/24/2022,5/20/2022,1,1,10:00:00 AM,11:15:00 AM,M,,W,,,,,DDH,107E,BKSFLD,Senior Seminar in Criminal Jus,"Nelson- Burkert,Lindsay Anne",32,P
2223,EUD,33107,EXED,BA,8042,760,3.00,3.00,Open,Active,30,30,13,0,0,N,1/24/2022,5/20/2022,1,2,6:00:00 PM,8:00:00 PM,,,,,,,,WEB,ON-LINE,EUD,CA Labor Laws and Regulations,"Nevarez,Adrian",96,OL
2223,1,31053,SS&E,EDCS,6010,60,3.00,3.00,Open,Active,35,30,28,5,0,Y,1/24/2022,5/20/2022,1,2,5:30:00 PM,8:00:00 PM,,,W,,,,,WEB,ON-LINE,BKSFLD,Assessment and Evaluation in C,"Nmah,Juterh",96,OL
2223,1,31054,SS&E,EDCS,6060,60,3.00,3.00,Open,Active,35,30,18,5,0,Y,1/24/2022,5/20/2022,1,2,5:30:00 PM,8:00:00 PM,M,,,,,,,WEB,ON-LINE,BKSFLD,Therapeutic Methods in Group S,"Nmah,Juterh",96,OL
2223,1,32419,SS&E,CAFS,4000,60,3.00,3.00,Closed,Active,25,25,25,15,3,Y,1/24/2022,5/20/2022,1,1,11:00:00 AM,12:15:00 PM,M,,W,,,,,WEB,ON-LINE,BKSFLD,Intro to Research Methods,"Nolasco,Hector Martinez",96,OL
2223,1,32422,SS&E,CAFS,4000,61,3.00,3.00,Closed,Active,25,25,25,15,0,Y,1/24/2022,5/20/2022,1,1,2:30:00 PM,3:45:00 PM,M,,W,,,,,WEB,ON-LINE,BKSFLD,Intro to Research Methods,"Nolasco,Hector Martinez",96,OL
2223,1,32424,SS&E,CAFS,4100,60,3.00,3.00,Closed,Active,35,35,35,15,1,Y,1/24/2022,5/20/2022,1,1,5:30:00 PM,6:45:00 PM,M,,W,,,,,WEB,ON-LINE,BKSFLD,Rsrch/Assess/Eval Child/Fam,"Nolasco,Hector Martinez",96,OL
2223,1,31550,SS&E,EDSP,3268,60,3.00,3.00,Closed,Active,30,30,30,10,7,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,People with Disabilities and A,"Norman,Susan Denise",96,OL
2223,1,32017,SS&E,EDSP,5870,60,3.00,3.00,Open,Active,30,30,1,10,0,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,Continuing Intern,"Norman,Susan Denise",96,OL
2223,1,31294,A&H,COMM,1008,64,3.00,3.00,Open,Active,26,26,7,10,0,Y,1/24/2022,5/20/2022,0,0,8:30:00 AM,9:45:00 AM,,T,,R,,,,WEB,ON-LINE,BKSFLD,Strategies of Public Comm,"Norris,Denise L",96,OL
2223,1,31304,A&H,COMM,1008,70,3.00,3.00,Open,Active,26,26,10,10,0,Y,1/24/2022,5/20/2022,1,1,10:00:00 AM,11:15:00 AM,,T,,R,,,,WEB,ON-LINE,BKSFLD,Strategies of Public Comm,"Norris,Denise L",96,OL
2223,1,31307,A&H,COMM,1008,71,3.00,3.00,Open,Active,26,26,13,10,0,Y,1/24/2022,5/20/2022,1,1,11:30:00 AM,12:45:00 PM,,T,,R,,,,WEB,ON-LINE,BKSFLD,Strategies of Public Comm,"Norris,Denise L",96,OL
2223,EUD,32673,A&H,COMM,3000,126,3.00,3.00,Open,Active,30,30,15,0,0,N,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,OLP,Theories of Communication,"Nucum,Dinah L",96,OL
2223,1,31353,A&H,COMM,3008,61,3.00,3.00,Open,Active,30,30,5,10,0,Y,1/24/2022,5/20/2022,1,1,12:00:00 PM,12:50:00 PM,M,,W,,F,,,WEB,ON-LINE,BKSFLD,Technical and Report Writing,"Nucum,Dinah L",96,OL
2223,1,31354,A&H,COMM,3008,62,3.00,3.00,Open,Active,30,30,9,10,0,Y,1/24/2022,5/20/2022,1,1,1:00:00 PM,2:15:00 PM,,T,,R,,,,WEB,ON-LINE,BKSFLD,Technical and Report Writing,"Nucum,Dinah L",96,OL
2223,1,32837,A&H,SPAN,3110,01,3.00,3.00,Open,Active,20,20,5,20,0,Y,1/24/2022,5/20/2022,1,1,2:30:00 PM,3:45:00 PM,M,,,,,,,MUS,114,BKSFLD,Spanish Peninsular Lit II,"Nuno,Anthony",32,HY
2223,1,32837,A&H,SPAN,3110,01,3.00,3.00,Open,Active,20,20,5,20,0,Y,1/24/2022,5/20/2022,1,1,2:30:00 PM,3:45:00 PM,,,W,,,,,WEB,ON-LINE,BKSFLD,Spanish Peninsular Lit II,"Nuno,Anthony",32,HY
2223,1,32839,A&H,SPAN,3120,01,3.00,3.00,Open,Active,20,20,13,20,0,Y,1/24/2022,5/20/2022,1,1,4:00:00 PM,5:15:00 PM,M,,,,,,,MUS,114,BKSFLD,Latin American Literature I,"Nuno,Anthony",32,HY
2223,1,32839,A&H,SPAN,3120,01,3.00,3.00,Open,Active,20,20,13,20,0,Y,1/24/2022,5/20/2022,1,1,4:00:00 PM,5:15:00 PM,,,W,,,,,WEB,ON-LINE,BKSFLD,Latin American Literature I,"Nuno,Anthony",32,HY
2223,1,32844,A&H,SPAN,4908,01,3.00,3.00,Open,Active,20,20,12,20,0,Y,1/24/2022,5/20/2022,1,2,5:30:00 PM,8:00:00 PM,,,W,,,,,MUS,114,BKSFLD,Senior Seminar/Capstone,"Nuno,Anthony",32,P
2223,1,32845,A&H,SPAN,6770,60,3.00,3.00,Open,Active,15,15,3,15,0,Y,1/24/2022,5/20/2022,1,2,5:30:00 PM,8:00:00 PM,M,,,,,,,WEB,ON-LINE,BKSFLD,Special Topics in Spanish,"Nuno,Anthony",96,OL
2223,1,31299,A&H,COMM,1008,07,3.00,3.00,Open,Active,26,26,3,10,0,Y,1/24/2022,5/20/2022,0,0,9:00:00 AM,9:50:00 AM,M,,W,,F,,,DDH,107K,BKSFLD,Strategies of Public Comm,"O'Bannon Miller,Kelly L",32,P
2223,1,31300,A&H,COMM,1008,08,3.00,3.00,Open,Active,26,26,4,10,0,Y,1/24/2022,5/20/2022,1,1,10:00:00 AM,10:50:00 AM,M,,W,,F,,,DDH,107K,BKSFLD,Strategies of Public Comm,"O'Bannon Miller,Kelly L",32,P
2223,1,31306,A&H,COMM,1008,14,3.00,3.00,Open,Active,26,26,3,10,0,Y,1/24/2022,5/20/2022,1,1,11:00:00 AM,11:50:00 AM,M,,W,,F,,,DDH,107K,BKSFLD,Strategies of Public Comm,"O'Bannon Miller,Kelly L",32,P
2223,1,31311,A&H,COMM,1008,19,3.00,3.00,Open,Active,26,26,4,10,0,Y,1/24/2022,5/20/2022,1,1,12:00:00 PM,12:50:00 PM,M,,W,,F,,,DDH,107K,BKSFLD,Strategies of Public Comm,"O'Bannon Miller,Kelly L",32,P
2223,1,31312,A&H,COMM,1008,20,3.00,3.00,Open,Active,26,26,3,10,0,Y,1/24/2022,5/20/2022,1,1,1:00:00 PM,1:50:00 PM,M,,W,,F,,,DDH,107K,BKSFLD,Strategies of Public Comm,"O'Bannon Miller,Kelly L",32,P
2223,1,31399,SS&E,EDTE,3000,60,3.00,3.00,Closed,Active,30,30,30,10,1,Y,1/27/2022,1/27/2022,1,1,10:00:00 AM,11:30:00 AM,,,,R,,,,WEB,ON-LINE,BKSFLD,Introduction to Education,"O'Bannon,Anne Kathleen",96,OL
