,Class Nbr,Tot Enrl,Start Date,End Date,Mtg Start,Mtg End,Mon,Tues,Wed,Thu,Fri,Sat,Sun,Building,Location
191,31032,39,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,M,,W,,,,,BDC,BKSFLD
192,31033,40,1/23/2023,5/19/2023, 8:30:00 AM, 9:45:00 AM,,T,,R,,,,BDC,BKSFLD
193,31034,39,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,BDC,BKSFLD
196,31035,40,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,HUM,BKSFLD
199,31037,39,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,M,,,,,,,SCI II,BKSFLD
200,31038,39,1/23/2023,5/19/2023, 2:30:00 PM, 3:20:00 PM,M,,,,,,,BDC,BKSFLD
201,31039,37,1/23/2023,5/19/2023, 2:30:00 PM, 3:20:00 PM,,,W,,,,,BDC,BKSFLD
202,31040,15,1/23/2023,5/19/2023, 7:00:00 PM, 7:50:00 PM,,T,,,,,,WSL,BKSFLD
205,31043,40,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,F,,,BDC,BKSFLD
206,31044,40,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,BDC,BKSFLD
207,31045,39,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,R,,,,BDC,BKSFLD
208,31046,37,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,,T,,R,,,,BDC,BKSFLD
209,31047,10,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,M,,W,,,,,WSL,BKSFLD
211,31169,37,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,M,,W,,,,,BDC,BKSFLD
212,31165,40,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,BDC,BKSFLD
213,31166,40,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,BDC,BKSFLD
214,31167,35,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,R,,,,BDC,BKSFLD
215,31168,24,1/23/2023,5/19/2023, 8:30:00 PM, 9:45:00 PM,,T,,R,,,,WSL,BKSFLD
219,31170,34,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,BDC,BKSFLD
220,31171,35,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,SCI III,BKSFLD
222,31173,35,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,BDC,BKSFLD
223,31174,34,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,T,,R,,,,SCI III,BKSFLD
232,33042,5,1/23/2023,5/19/2023, 6:00:00 PM, 8:30:00 PM,,,,,F,,,BDC,BKSFLD
234,31077,13,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,T,,R,,,,RNEC,BKSFLD
239,33170,17,1/23/2023,3/19/2023, 6:00:00 PM, 7:30:00 PM,M,,W,,,,,WSL,EBKS
240,33179,20,3/20/2023,5/19/2023, 6:00:00 PM, 9:00:00 PM,,T,,R,,,,EXTU,EBKS
241,33180,15,3/20/2023,5/19/2023, 7:00:00 PM,10:00:00 PM,M,,,,,,,SCI III,EBKS
245,33176,14,1/23/2023,3/19/2023, 6:00:00 PM, 9:00:00 PM,,T,,R,,,,EDUC,EBKS
246,33177,17,1/23/2023,3/19/2023, 6:00:00 PM, 9:00:00 PM,M,,W,,,,,EXTU,EBKS
247,33182,3,1/23/2023,5/19/2023, 6:00:00 PM, 9:00:00 PM,,T,,,,,,SCI II,EBKS
248,33178,21,1/23/2023,3/19/2023, 6:00:00 PM,10:00:00 PM,,,,R,,,,EXTU,EBKS
249,33181,17,3/20/2023,5/19/2023, 6:00:00 PM, 9:00:00 PM,M,,W,,,,,EXTU,EBKS
250,32707,97,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,M,,W,,,,,BDC,BKSFLD
251,32708,25,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI I,BKSFLD
252,32709,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI I,BKSFLD
253,32710,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,,,,,SCI I,BKSFLD
254,32711,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,R,,,,SCI I,BKSFLD
256,32713,93,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,M,,W,,,,,BDC,BKSFLD
257,32714,23,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI I,BKSFLD
258,32715,24,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,,R,,,,SCI I,BKSFLD
259,32716,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,M,,,,,,,SCI I,BKSFLD
261,32718,22,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,W,,,,,SCI I,BKSFLD
262,32719,27,1/23/2023,5/19/2023, 5:30:00 PM, 6:20:00 PM,,T,,R,,,,SCI III,BKSFLD
263,32720,17,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,,,,,SCI I,BKSFLD
265,32722,10,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI I,BKSFLD
269,32724,44,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,SCI III,BKSFLD
271,32726,15,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,M,,,,,,,SCI I,BKSFLD
272,32727,17,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI I,BKSFLD
273,32728,12,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,R,,,,SCI I,BKSFLD
274,32729,71,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,SCI III,BKSFLD
275,32730,23,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,W,,,,,SCI I,BKSFLD
276,32731,24,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,W,,,,,SCI I,BKSFLD
277,32732,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI I,BKSFLD
278,32733,52,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,HUM,BKSFLD
279,32734,14,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,M,,,,,,,SCI I,BKSFLD
280,32735,22,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,,,,,SCI I,BKSFLD
281,32736,16,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,,W,,,,,SCI I,BKSFLD
282,32737,62,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,SCI II,BKSFLD
283,32738,24,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI I,BKSFLD
284,32739,14,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,,R,,,,SCI I,BKSFLD
285,32740,24,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,M,,,,,,,SCI I,BKSFLD
288,32741,112,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,BDC,BKSFLD
289,32742,23,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI I,BKSFLD
290,32743,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,M,,,,,,,SCI I,BKSFLD
291,32744,20,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,W,,,,,SCI I,BKSFLD
292,32745,23,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI I,BKSFLD
293,32746,22,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,W,,,,,SCI I,BKSFLD
294,32747,22,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,R,,,,SCI III,BKSFLD
295,32748,8,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI I,BKSFLD
298,32753,14,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,R,,,,SCI I,BKSFLD
304,32755,91,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,HUM,BKSFLD
305,32757,22,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI I,BKSFLD
306,32758,24,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,W,,,,,SCI I,BKSFLD
307,32759,22,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,W,,,,,SCI I,BKSFLD
308,32761,23,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,,,,,SCI I,BKSFLD
309,32762,67,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,HUM,BKSFLD
311,32767,23,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI I,BKSFLD
312,32768,21,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI I,BKSFLD
313,32769,23,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,R,,,,SCI I,BKSFLD
316,32770,116,1/23/2023,5/19/2023,11:00:00 AM,12:15:00 PM,M,,W,,,,,BDC,BKSFLD
317,32771,23,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI I,BKSFLD
318,32772,25,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI I,BKSFLD
319,32775,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,,,,,SCI I,BKSFLD
320,32777,23,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,T,,,,,,SCI I,BKSFLD
321,32778,21,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,,R,,,,SCI I,BKSFLD
324,32780,30,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,,,,SCI III,BKSFLD
327,32785,56,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,SCI II,BKSFLD
330,32787,71,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,SCI II,BKSFLD
332,32789,34,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,SCI II,BKSFLD
333,32791,26,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,SCI III,BKSFLD
334,32793,19,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,DDH,BKSFLD
335,32794,19,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,,R,,,,SCI III,BKSFLD
336,32807,24,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,SCI II,BKSFLD
337,32809,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,R,,,,SCI III,BKSFLD
340,32811,19,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,SCI II,BKSFLD
341,32813,77,1/23/2023,5/19/2023, 4:00:00 PM, 5:40:00 PM,,T,,R,,,,BDC,BKSFLD
343,32819,38,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,BDC,BKSFLD
344,32820,24,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,M,,,,,,,SCI I,BKSFLD
345,32821,14,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,R,,,,SCI I,BKSFLD
346,32822,46,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,HUM,BKSFLD
347,32823,67,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,HUM,BKSFLD
349,32824,35,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,M,,W,,,,,HUM,BKSFLD
351,32825,64,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,R,,,,SCI II,BKSFLD
353,32826,52,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,R,,,,SCI II,BKSFLD
354,32827,81,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,SCI III,BKSFLD
355,32828,22,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI I,BKSFLD
356,32893,19,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,M,,,,,,,SCI I,BKSFLD
357,32894,24,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,W,,,,,SCI I,BKSFLD
358,32895,16,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,,,F,,,SCI I,BKSFLD
363,32897,26,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,SCI I,BKSFLD
364,32898,26,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI I,BKSFLD
365,32899,23,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,DDH,BKSFLD
366,32900,23,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI I,BKSFLD
369,32903,24,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,,W,,F,,,SCI I,BKSFLD
370,32904,24,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,,F,,,SCI I,BKSFLD
371,32906,20,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,DDH,BKSFLD
372,32907,20,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,,R,,,,SCI I,BKSFLD
380,32908,19,1/23/2023,5/19/2023, 4:00:00 PM, 4:50:00 PM,,T,,,,,,SCI III,BKSFLD
381,32909,15,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,,,,,F,,,SCI III,BKSFLD
382,32911,15,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,,,,,,SCI III,BKSFLD
383,32912,4,1/23/2023,5/19/2023, 2:30:00 PM, 3:20:00 PM,,T,,R,,,,SCI III,BKSFLD
384,32913,17,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,M,,W,,,,,DDH,BKSFLD
386,32914,6,1/23/2023,5/19/2023, 5:30:00 PM, 7:10:00 PM,M,,,,,,,DDH,BKSFLD
387,32915,3,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,SCI I,BKSFLD
388,32916,3,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,T,,,,,,SCI III,BKSFLD
395,32917,5,1/23/2023,5/19/2023, 5:30:00 PM, 7:10:00 PM,,,W,,,,,EDUC,BKSFLD
407,32218,43,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,M,,W,,,,,BDC,BKSFLD
438,32551,20,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,T,,,,,,DDH,BKSFLD
454,32560,21,1/23/2023,5/19/2023,11:00:00 AM,12:15:00 PM,,,W,,,,,SCI II,BKSFLD
458,32766,5,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,,,,EDUC,BKSFLD
476,32607,21,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,,W,,,,,WSL,BKSFLD
480,32608,25,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,,W,,,,,WSL,BKSFLD
491,31322,49,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,BDC,BKSFLD
492,31323,56,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,R,,,,BDC,BKSFLD
493,31324,50,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,BDC,BKSFLD
494,31401,59,1/23/2023,5/19/2023, 8:30:00 AM, 9:45:00 AM,,T,,R,,,,BDC,BKSFLD
498,31402,7,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,R,,,,SCI II,BKSFLD
499,31403,16,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,W,,,,,SCI II,BKSFLD
500,31404,8,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,M,,W,,,,,SCI II,BKSFLD
503,31408,13,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,M,,W,,,,,SCI II,BKSFLD
504,31515,16,1/23/2023,5/19/2023, 7:20:00 AM, 9:50:00 AM,M,,W,,,,,SCI II,BKSFLD
505,31516,16,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,T,,R,,,,SCI II,BKSFLD
506,31517,16,1/23/2023,5/19/2023, 7:20:00 AM, 9:50:00 AM,,T,,R,,,,SCI II,BKSFLD
512,31520,50,1/23/2023,5/19/2023, 8:00:00 AM, 9:40:00 AM,M,,W,,,,,SCI III,BKSFLD
513,31521,48,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,,T,,R,,,,DLC,BKSFLD
514,31522,25,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI II,BKSFLD
515,31523,23,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,W,,,,,SCI II,BKSFLD
519,31525,61,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,BDC,BKSFLD
521,31526,27,1/23/2023,5/19/2023,12:00:00 PM,12:50:00 PM,M,,W,,,,,DDH,BKSFLD
522,31527,29,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,M,,W,,,,,DDH,BKSFLD
524,31528,30,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,,,,SCI III,BKSFLD
527,31567,20,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,M,,W,,,,,DDH,BKSFLD
529,31569,21,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,DDH,BKSFLD
530,31570,32,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,R,,,,DDH,BKSFLD
531,31571,41,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,DDH,BKSFLD
535,32638,7,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,M,,,,,,,DDH,BKSFLD
537,31574,24,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,,,,DDH,BKSFLD
539,31575,13,1/23/2023,5/19/2023, 4:00:00 PM, 4:50:00 PM,,T,,R,,,,SCI II,BKSFLD
540,31576,10,1/23/2023,5/19/2023, 8:30:00 AM, 9:45:00 AM,,T,,R,,,,SCI III,BKSFLD
541,31577,10,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,R,,,,SCI II,BKSFLD
542,31578,41,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,DDH,BKSFLD
544,31579,15,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,R,,,,SCI II,BKSFLD
545,31580,13,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,R,,,,SCI II,BKSFLD
547,31581,19,1/23/2023,5/19/2023, 2:40:00 PM, 3:30:00 PM,,T,,R,,,,SCI III,BKSFLD
548,31582,12,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,W,,,,,SCI II,BKSFLD
549,31583,10,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,,T,,R,,,,DDH,BKSFLD
550,31584,6,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,W,,,,,SCI II,BKSFLD
553,31585,6,1/23/2023,5/19/2023, 4:00:00 PM, 4:50:00 PM,,T,,,,,,SCI III,BKSFLD
554,31586,10,1/23/2023,5/19/2023, 2:30:00 PM, 3:20:00 PM,,T,,R,,,,DDH,BKSFLD
555,31587,10,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI II,BKSFLD
559,31591,5,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,M,,W,,,,,EDUC,BKSFLD
560,31592,5,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,W,,,,,SCI II,BKSFLD
561,31594,7,1/23/2023,5/19/2023,10:00:00 AM,11:40:00 AM,,,,,F,,,SCI II,BKSFLD
562,31595,9,1/23/2023,5/19/2023,11:30:00 AM,12:20:00 PM,,T,,,,,,SCI III,BKSFLD
563,31596,7,1/23/2023,5/19/2023, 8:30:00 AM, 9:20:00 AM,M,,,,,,,SCI III,BKSFLD
564,31597,4,1/23/2023,5/19/2023, 7:20:00 AM, 9:50:00 AM,,,W,,,,,SCI II,BKSFLD
565,31598,4,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,M,,W,,,,,DDH,BKSFLD
566,31602,5,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,R,,,,SCI II,BKSFLD
568,31604,6,1/23/2023,5/19/2023, 8:50:00 AM, 9:40:00 AM,M,,W,,,,,SCI III,BKSFLD
569,31605,6,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,,R,,,,SCI II,BKSFLD
571,33070,1,1/23/2023,5/19/2023,,,,,,,,,,SCI II,BKSFLD
572,33084,1,1/23/2023,5/19/2023,,,,,,,,,,SCI II,BKSFLD
573,33141,1,1/23/2023,5/19/2023,,,,,,,,,,SCI II,BKSFLD
574,33232,1,1/23/2023,5/19/2023,,,,,,,,,,SCI II,BKSFLD
575,33289,3,1/23/2023,5/19/2023,,,,,,,,,,SCI II,BKSFLD
576,33331,1,1/23/2023,5/19/2023,,,,,,,,,,SCI II,BKSFLD
577,33469,1,1/23/2023,5/19/2023,,,,,,,,,,SCI II,BKSFLD
578,33580,2,1/23/2023,5/19/2023,,,,,,,,,,SCI II,BKSFLD
579,33687,3,1/23/2023,5/19/2023,,,,,,,,,,SCI II,BKSFLD
580,31607,6,1/23/2023,5/19/2023, 5:30:00 PM, 6:20:00 PM,,,,R,,,,SCI III,BKSFLD
581,31608,10,1/23/2023,5/19/2023, 9:00:00 AM,11:30:00 AM,,,,,F,,,SCI II,BKSFLD
584,32337,14,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,F,,,SCI III,BKSFLD
586,32401,34,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,SCI III,BKSFLD
587,32402,34,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,M,,W,,,,,SCI III,BKSFLD
588,32424,24,1/23/2023,5/19/2023, 8:00:00 AM, 8:50:00 AM,M,,W,,F,,,SCI III,BKSFLD
589,32425,24,1/23/2023,5/19/2023, 7:20:00 AM, 9:50:00 AM,,T,,,,,,SCI III,BKSFLD
590,32404,36,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,T,,R,,,,SCI III,BKSFLD
591,32405,36,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,,T,,R,,,,SCI III,BKSFLD
592,32406,18,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,SCI III,BKSFLD
593,32407,18,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,M,,W,,,,,SCI III,BKSFLD
594,32339,35,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,M,,W,,F,,,SCI III,BKSFLD
595,32340,35,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI III,BKSFLD
596,33045,35,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,M,,W,,F,,,SCI III,BKSFLD
597,33046,35,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,R,,,,SCI III,BKSFLD
598,32428,24,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,F,,,SCI III,BKSFLD
600,32420,35,1/23/2023,5/19/2023, 2:30:00 PM, 3:20:00 PM,M,,W,,,,,SCI III,BKSFLD
601,32421,35,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,T,,,,,,SCI III,BKSFLD
602,32433,35,1/23/2023,5/19/2023, 2:30:00 PM, 3:20:00 PM,M,,W,,,,,SCI III,BKSFLD
603,32434,35,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,T,,,,,,SCI III,BKSFLD
604,32435,29,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,SCI III,BKSFLD
605,32436,29,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,,F,,,SCI III,BKSFLD
606,33161,2,1/23/2023,5/19/2023,11:50:00 AM, 1:30:00 PM,M,,W,,,,,SCI III,BKSFLD
607,32440,27,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,M,,W,,F,,,SCI III,BKSFLD
608,32441,27,1/23/2023,5/19/2023, 7:20:00 AM, 9:50:00 AM,,T,,,,,,SCI III,BKSFLD
611,32431,31,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,SCI III,BKSFLD
612,32432,31,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,,,,,SCI III,BKSFLD
613,32453,34,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,SCI III,BKSFLD
614,32454,34,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,R,,,,SCI III,BKSFLD
615,32444,38,1/23/2023,5/19/2023, 7:00:00 PM, 8:40:00 PM,,T,,,,,,SCI III,BKSFLD
616,32445,38,1/23/2023,5/19/2023, 6:00:00 PM, 8:30:00 PM,,,,,F,,,SCI III,BKSFLD
617,32429,35,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,M,,W,,,,,SCI III,BKSFLD
618,32430,35,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI III,BKSFLD
621,32442,34,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,F,,,SCI III,BKSFLD
622,32443,34,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,,R,,,,SCI III,BKSFLD
623,32446,28,1/23/2023,5/19/2023,12:00:00 PM,12:50:00 PM,M,,W,,F,,,SCI III,BKSFLD
624,32447,28,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,,R,,,,SCI III,BKSFLD
627,32418,22,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,M,,W,,,,,SCI III,BKSFLD
628,32419,22,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,T,,,,,,SCI III,BKSFLD
629,32426,30,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,M,,W,,,,,SCI III,BKSFLD
630,32427,30,1/23/2023,5/19/2023, 7:20:00 AM, 9:50:00 AM,,,,R,,,,SCI III,BKSFLD
631,32438,9,1/23/2023,5/19/2023, 8:00:00 AM, 8:50:00 AM,M,,W,,F,,,SCI III,BKSFLD
632,32439,9,1/23/2023,5/19/2023, 7:20:00 AM, 9:50:00 AM,,,,R,,,,SCI III,BKSFLD
