,Class Nbr,Tot Enrl,Start Date,End Date,Mtg Start,Mtg End,Mon,Tues,Wed,Thu,Fri,Sat,Sun,Building,Location
3258,32497,18,1/23/2023,5/19/2023, 2:30:00 PM, 3:20:00 PM,M,,W,,,,,SCI III,BKSFLD
3259,32498,18,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,,,F,,,SCI II,BKSFLD
3261,32502,90,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,M,,W,,,,,SCI III,BKSFLD
3262,32503,75,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,R,,,,HUM,BKSFLD
3263,32504,75,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,SCI III,BKSFLD
3264,32506,61,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,WSL,BKSFLD
3279,31108,41,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,,,,DDH,BKSFLD
3281,31109,15,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,BDC,BKSFLD
3286,31111,20,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,BDC,BKSFLD
3287,31112,15,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,SCI III,BKSFLD
3288,31113,32,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,R,,,,DDH,BKSFLD
3289,31114,18,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,T,,R,,,,DDH,BKSFLD
3295,31121,18,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,W,,,,,DDH,BKSFLD
3300,31125,20,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,M,,W,,,,,DDH,BKSFLD
3302,31128,8,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,R,,,,WSL,BKSFLD
3307,31154,18,1/23/2023,5/19/2023,12:00:00 PM,12:50:00 PM,M,,W,,,,,EDUC,BKSFLD
3313,31158,16,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,R,,,,EDUC,BKSFLD
3317,31187,30,1/23/2023,5/19/2023, 8:30:00 AM, 9:45:00 AM,,T,,R,,,,HUM,BKSFLD
3318,31188,38,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,EDUC,BKSFLD
3321,31190,23,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,DDH,BKSFLD
3329,31196,7,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,M,,,,,,,WSL,BKSFLD
3357,31281,8,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,DDH,BKSFLD
3361,31282,10,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,,R,,,,EDUC,BKSFLD
3365,31287,25,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,WSL,BKSFLD
3374,31319,11,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,,,,,WSL,BKSFLD
3376,31320,12,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,,,,,DDH,BKSFLD
3382,31297,19,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,T,,,,,,SCI III,BKSFLD
3383,31299,12,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,W,,,,,DDH,BKSFLD
3388,32152,4,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,M,,W,,F,,,DDH,BKSFLD
3390,32155,4,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,M,,W,,,,,DDH,BKSFLD
3392,32156,5,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,F,,,DDH,BKSFLD
3393,32157,5,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,M,,W,,,,,DDH,BKSFLD
3396,32774,4,1/23/2023,5/19/2023, 8:30:00 AM, 9:45:00 AM,,T,,R,,,,DDH,BKSFLD
3397,32236,10,1/23/2023,5/19/2023, 9:30:00 AM,10:45:00 AM,M,,,,,,,DDH,BKSFLD
3399,32262,7,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,,,,,DDH,BKSFLD
3402,32286,14,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,,,,,,MUS,BKSFLD
3404,32293,19,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,,,,,,MUS,BKSFLD
3407,32240,16,1/23/2023,5/19/2023,11:00:00 AM,12:15:00 PM,M,,,,,,,DDH,BKSFLD
3411,32267,16,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,,,,,DDH,BKSFLD
3415,32296,13,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,M,,,,,,,MUS,BKSFLD
3420,31933,20,1/23/2023,5/19/2023,11:30:00 AM, 2:00:00 PM,,T,,,,,,WSL,BKSFLD
3421,31934,16,1/23/2023,5/19/2023,11:30:00 AM, 2:00:00 PM,,,,R,,,,DDH,BKSFLD
3422,31938,21,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,,,,R,,,,EDUC,BKSFLD
3424,31935,19,1/23/2023,5/19/2023, 8:30:00 AM,11:00:00 AM,,T,,,,,,EDUC,BKSFLD
3425,31936,16,1/23/2023,5/19/2023,11:30:00 AM, 2:00:00 PM,,T,,,,,,DDH,BKSFLD
3426,31937,19,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,,T,,,,,,DDH,BKSFLD
3433,31939,19,1/23/2023,5/19/2023,11:30:00 AM, 2:00:00 PM,,T,,,,,,DDH,BKSFLD
3434,31940,17,1/23/2023,5/19/2023,11:30:00 AM, 2:00:00 PM,,,,R,,,,DDH,BKSFLD
3435,31941,19,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,T,,,,,,DDH,BKSFLD
3443,31942,17,1/23/2023,5/19/2023, 8:30:00 AM,11:00:00 AM,,,,R,,,,WSL,BKSFLD
3444,31943,19,1/23/2023,5/19/2023,11:30:00 AM, 2:00:00 PM,,,,R,,,,DDH,BKSFLD
3445,31944,19,1/23/2023,5/19/2023, 8:30:00 PM, 9:45:00 PM,,T,,,,,,DDH,BKSFLD
3452,31945,16,1/23/2023,5/19/2023, 8:30:00 AM,11:00:00 AM,,T,,,,,,WSL,BKSFLD
3453,31946,19,1/23/2023,5/19/2023, 8:30:00 AM,11:00:00 AM,,,,R,,,,DDH,BKSFLD
3454,31947,21,1/23/2023,5/19/2023, 8:30:00 AM,11:00:00 AM,,T,,,,,,EDUC,BKSFLD
3455,31948,16,1/23/2023,5/19/2023, 8:30:00 AM,11:00:00 AM,,,,R,,,,EDUC,BKSFLD
3456,31949,21,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,T,,,,,,DDH,BKSFLD
3463,31950,16,1/23/2023,5/19/2023, 2:30:00 PM, 5:00:00 PM,,T,,,,,,DDH,BKSFLD
3464,31951,19,1/23/2023,5/19/2023, 2:30:00 PM, 5:00:00 PM,,,,R,,,,DDH,BKSFLD
3465,31952,22,1/23/2023,5/19/2023, 8:30:00 PM, 9:45:00 PM,,,,R,,,,DDH,BKSFLD
3467,31953,19,1/23/2023,5/19/2023, 2:30:00 PM, 5:00:00 PM,,T,,,,,,DDH,BKSFLD
3468,31954,17,1/23/2023,5/19/2023, 2:30:00 PM, 5:00:00 PM,,T,,,,,,DDH,BKSFLD
3469,31955,21,1/23/2023,5/19/2023, 8:30:00 PM, 9:45:00 PM,,T,,,,,,DDH,BKSFLD
3476,31956,17,1/23/2023,5/19/2023, 2:30:00 PM, 5:00:00 PM,,,,R,,,,DDH,BKSFLD
3477,31957,20,1/23/2023,5/19/2023, 2:30:00 PM, 5:00:00 PM,,,,R,,,,DDH,BKSFLD
3478,31958,20,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,,T,,,,,,DDH,BKSFLD
3485,31959,22,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,,,R,,,,DDH,BKSFLD
3487,31960,19,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,,,R,,,,DDH,BKSFLD
3489,31961,17,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,,,R,,,,DDH,BKSFLD
3491,32500,11,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,DT,BKSFLD
3492,32501,10,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,DT,BKSFLD
3494,32505,18,1/23/2023,5/19/2023, 8:30:00 AM, 9:45:00 AM,,T,,R,,,,DT,BKSFLD
3495,32507,15,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,R,,,,DT,BKSFLD
3497,32538,19,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,DT,BKSFLD
3498,32540,21,1/23/2023,5/19/2023, 8:30:00 AM, 9:45:00 AM,,T,,R,,,,DT,BKSFLD
3499,32547,18,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,DT,BKSFLD
3501,32555,5,1/23/2023,5/19/2023,12:00:00 PM,12:50:00 PM,M,,W,,F,,,MUS,BKSFLD
3502,32567,1,1/23/2023,5/19/2023, 6:00:00 PM, 6:45:00 PM,,,,R,,,,DT,BKSFLD
3503,32568,6,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,DT,BKSFLD
3504,32569,5,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,,,,,DT,BKSFLD
3505,32570,8,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,,,R,,,,DT,BKSFLD
3506,32571,5,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,DT,BKSFLD
3507,32572,5,1/23/2023,5/19/2023, 1:00:00 PM, 2:25:00 PM,,,,,F,,,DT,BKSFLD
3508,32573,2,1/23/2023,5/19/2023, 6:00:00 PM, 6:45:00 PM,,,,R,,,,DT,BKSFLD
3509,32574,4,1/23/2023,5/19/2023, 7:00:00 PM,10:00:00 PM,M,T,W,R,,,,DT,BKSFLD
3510,32575,3,1/23/2023,5/19/2023, 7:00:00 PM,10:00:00 PM,M,T,W,R,,,,DT,BKSFLD
3513,32578,1,1/23/2023,5/19/2023, 7:00:00 PM,10:00:00 PM,M,T,W,R,,,,DT,BKSFLD
3514,32579,6,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,R,,,,DT,BKSFLD
3515,32508,13,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,R,,,,MUS,BKSFLD
3516,32580,16,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,MUS,BKSFLD
3517,32581,7,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,DT,BKSFLD
3518,32582,7,1/23/2023,5/19/2023, 2:30:00 PM, 3:55:00 PM,,,,,F,,,DT,BKSFLD
3521,32614,19,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,DT,BKSFLD
3522,32615,23,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,DT,BKSFLD
3523,32616,28,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,DT,BKSFLD
3524,32617,25,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,DT,BKSFLD
3525,32618,26,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,DT,BKSFLD
3526,32619,22,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,R,,,,DT,BKSFLD
3528,32596,3,1/23/2023,5/19/2023, 6:00:00 PM, 6:45:00 PM,,,,R,,,,DT,BKSFLD
3529,32597,3,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,,,,,DT,BKSFLD
3530,32598,4,1/23/2023,5/19/2023, 6:00:00 PM, 6:45:00 PM,,,,R,,,,DT,BKSFLD
3531,32599,2,1/23/2023,5/19/2023, 7:00:00 PM,10:00:00 PM,M,T,W,R,,,,DT,BKSFLD
3532,32601,3,1/23/2023,5/19/2023, 7:00:00 PM,10:00:00 PM,M,T,W,R,,,,DT,BKSFLD
3535,32606,2,1/23/2023,5/19/2023, 7:00:00 PM,10:00:00 PM,M,T,W,R,,,,DT,BKSFLD
